Modelo,Marca,Marca completa,,Pedido,Precio público,Descuento,Precio especial
158831,LR,Lotus,Relojeria,1,1999,-75%,500
158841,LR,Lotus,Relojeria,2,1999,-75%,500
186212,LR,Lotus,Relojeria,3,3199,-77%,750
186391,LR,Lotus,Relojeria,1,4499,-77%,1050
187311,LR,Lotus,Relojeria,3,2999,-77%,700
187313,LR,Lotus,Relojeria,7,3199,-77%,750
187321,LR,Lotus,Relojeria,7,3699,-76%,900
187373,LR,Lotus,Relojeria,3,2399,-75%,600
187376,LR,Lotus,Relojeria,8,2399,-75%,600
187382,LR,Lotus,Relojeria,2,1999,-75%,500
187383,LR,Lotus,Relojeria,2,1999,-75%,500
187901,LR,Lotus,Relojeria,7,2599,-77%,600
187902,LR,Lotus,Relojeria,3,2599,-77%,600
187904,LR,Lotus,Relojeria,3,2599,-77%,600
187906,LR,Lotus,Relojeria,3,2599,-77%,600
188382,LR,Lotus,Relojeria,2,3199,-77%,750
188412,LR,Lotus,Relojeria,2,5599,-77%,1300
188491,LR,Lotus,Relojeria,1,6599,-77%,1550
188543,LR,Lotus,Relojeria,1,3399,-76%,800
188731,LR,Lotus,Relojeria,6,6599,-77%,1550
188741,LR,Lotus,Relojeria,1,6599,-77%,1550
188834,LR,Lotus,Relojeria,3,3199,-77%,750
189372,LR,Lotus,Relojeria,2,3499,-76%,850
189374,LR,Lotus,Relojeria,8,3499,-76%,850
189376,LR,Lotus,Relojeria,5,3499,-76%,850
189453,LR,Lotus,Relojeria,3,5299,-76%,1250
189703,LR,Lotus,Relojeria,3,3999,-76%,950
F164761,FT,Festina,Relojeria,4,2999,-75%,750
F200253,FT,Festina,Relojeria,4,5299,-75%,1350
F204973,FT,Festina,Relojeria,4,5999,-75%,1500
F206642,FT,Festina,Relojeria,4,6299,-70%,1900
GW0033L2,GR,Guess,Relojeria,20,5099,-75%,1300
GW0202G1,GR,Guess,Relojeria,20,5899,-75%,1500
GW0203G11,GR,Guess,Relojeria,6,5499,-75%,1400
GW0203G2,GR,Guess,Relojeria,10,4399,-75%,1100
GW0203G4,GR,Guess,Relojeria,6,4399,-75%,1100
GW0203G7,GR,Guess,Relojeria,10,4499,-74%,1150
GW0456G1,GR,Guess,Relojeria,6,7299,-75%,1850
GW0468L1,GR,Guess,Relojeria,6,3799,-75%,950
GW0469L3,GR,Guess,Relojeria,20,3199,-75%,800
GW0499G13,GR,Guess,Relojeria,6,4499,-74%,1150
GW0499G14,GR,Guess,Relojeria,6,4499,-74%,1150
GW0499G3,GR,Guess,Relojeria,10,4999,-75%,1250
GW0534L1,GR,Guess,Relojeria,6,3799,-75%,950
GW0549L2,GR,Guess,Relojeria,20,4199,-75%,1050
GW0560L1,GR,Guess,Relojeria,10,4399,-75%,1100
GW0628G1,GR,Guess,Relojeria,10,3299,-74%,850
GW0653L1,GR,Guess,Relojeria,10,4899,-74%,1250
GW0655L1,GR,Guess,Relojeria,20,3999,-75%,1000
GW0655L2,GR,Guess,Relojeria,10,4599,-75%,1150
GW0658L1,GR,Guess,Relojeria,6,3499,-74%,900
GW0666L1,GR,Guess,Relojeria,6,3599,-75%,900
GW0666L2,GR,Guess,Relojeria,6,3899,-74%,1000
GW0696L4,GR,Guess,Relojeria,6,5499,-75%,1400
GW0744L2,GR,Guess,Relojeria,10,3499,-74%,900
GW0754L1,GR,Guess,Relojeria,20,4599,-75%,1150
GW0761L1,GR,Guess,Relojeria,10,2999,-75%,750
GW0767L2,GR,Guess,Relojeria,10,3899,-74%,1000
GW0781G4,GR,Guess,Relojeria,20,3099,-74%,800
GW0781G5,GR,Guess,Relojeria,10,2999,-75%,750
GW0784G1,GR,Guess,Relojeria,20,5699,-75%,1450
GW0790G1,GR,Guess,Relojeria,10,4199,-75%,1050
GW0805G1,GR,Guess,Relojeria,20,2899,-74%,750
GW0805G2,GR,Guess,Relojeria,6,2999,-75%,750
GW0805G3,GR,Guess,Relojeria,20,2999,-75%,750
GW0808L2,GR,Guess,Relojeria,6,5199,-75%,1300
GW0820L1,GR,Guess,Relojeria,20,2799,-75%,700
GW0841L9,GR,Guess,Relojeria,6,3999,-75%,1000
GW0861L6,GR,Guess,Relojeria,6,4399,-75%,1100
GW0864L1,GR,Guess,Relojeria,10,4199,-75%,1050
GW0864L2,GR,Guess,Relojeria,20,4699,-74%,1200
GW0865L1,GR,Guess,Relojeria,6,4399,-75%,1100
GW0867L1,GR,Guess,Relojeria,6,4099,-74%,1050
GW0900G4,GR,Guess,Relojeria,10,4999,-75%,1250
GW0912L4,GR,Guess,Relojeria,20,2999,-75%,750
GW0916G1,GR,Guess,Relojeria,20,3599,-75%,900
GW0924L1,GR,Guess,Relojeria,10,3499,-74%,900
GW0928L2,GR,Guess,Relojeria,10,3199,-75%,800
GW0931L2,GR,Guess,Relojeria,6,4999,-75%,1250
GW0931L7,GR,Guess,Relojeria,20,4599,-75%,1150
GW0931L8,GR,Guess,Relojeria,20,4399,-75%,1100
GW0935L2,GR,Guess,Relojeria,6,4299,-74%,1100
GW0944L2,GR,Guess,Relojeria,6,4699,-74%,1200
GW0945L2,GR,Guess,Relojeria,6,6199,-75%,1550
GW0956G2,GR,Guess,Relojeria,6,6299,-75%,1600
GW0956G5,GR,Guess,Relojeria,6,5499,-75%,1400
GW0957G2,GR,Guess,Relojeria,6,3299,-74%,850
GW0960G2,GR,Guess,Relojeria,10,6399,-75%,1600
GW0969G5,GR,Guess,Relojeria,6,4199,-75%,1050
GW0974G1,GR,Guess,Relojeria,10,3699,-74%,950
GW0991L1,GR,Guess,Relojeria,6,4999,-75%,1250
GW0995L1,GR,Guess,Relojeria,6,4699,-74%,1200
GW0995L2,GR,Guess,Relojeria,6,5299,-75%,1350
GW1005G1,GR,Guess,Relojeria,6,3699,-74%,950
GW1008G1,GR,Guess,Relojeria,10,4399,-75%,1100
GW1011G1,GR,Guess,Relojeria,6,4499,-74%,1150
GW1016L1,GR,Guess,Relojeria,6,4699,-74%,1200
GW1016L2,GR,Guess,Relojeria,6,5299,-75%,1350
GW1017L1,GR,Guess,Relojeria,10,4699,-74%,1200
GW1017L2,GR,Guess,Relojeria,6,5299,-75%,1350
GW1018L1,GR,Guess,Relojeria,6,4799,-75%,1200
GW1019L2,GR,Guess,Relojeria,10,4299,-74%,1100
GW1019L3,GR,Guess,Relojeria,6,4299,-74%,1100
GW1021L2,GR,Guess,Relojeria,10,4199,-75%,1050
GW1026L1,GR,Guess,Relojeria,10,4399,-75%,1100
GW1026L2,GR,Guess,Relojeria,6,4299,-74%,1100
GW1027L1,GR,Guess,Relojeria,6,4199,-75%,1050
GW1027L2,GR,Guess,Relojeria,6,4599,-75%,1150
GW1028L1,GR,Guess,Relojeria,6,3899,-74%,1000
GW1028L4,GR,Guess,Relojeria,6,4199,-75%,1050
GW1029L2,GR,Guess,Relojeria,20,3499,-74%,900
GW1030L2,GR,Guess,Relojeria,10,3499,-74%,900
GW1030L4,GR,Guess,Relojeria,6,4399,-75%,1100
GW1031L2,GR,Guess,Relojeria,20,4899,-74%,1250
GW1031L4,GR,Guess,Relojeria,6,5199,-75%,1300
GW1033L1,GR,Guess,Relojeria,6,3199,-75%,800
GW1033L2,GR,Guess,Relojeria,20,3399,-75%,850
GW1034L2,GR,Guess,Relojeria,20,4199,-75%,1050
GW1034L4,GR,Guess,Relojeria,10,4399,-75%,1100
GW1035L1,GR,Guess,Relojeria,10,4499,-74%,1150
GW1035L2,GR,Guess,Relojeria,10,4999,-75%,1250
GW1036L2,GR,Guess,Relojeria,10,4499,-74%,1150
GW1036L4,GR,Guess,Relojeria,6,4799,-75%,1200
GW1037L1,GR,Guess,Relojeria,6,4899,-74%,1250
GW1037L2,GR,Guess,Relojeria,6,5399,-75%,1350
GW1038L4,GR,Guess,Relojeria,6,5199,-75%,1300
GW1042L1,GR,Guess,Relojeria,10,3299,-74%,850
GW1042L4,GR,Guess,Relojeria,6,3799,-75%,950
GW1045L2,GR,Guess,Relojeria,20,3299,-74%,850
GW1046L4,GR,Guess,Relojeria,6,3999,-75%,1000
GW1047L2,GR,Guess,Relojeria,6,8199,-75%,2050
GW1048G1,GR,Guess,Relojeria,6,5199,-75%,1300
GW1048G2,GR,Guess,Relojeria,10,4899,-74%,1250
GW1049G1,GR,Guess,Relojeria,10,4199,-75%,1050
GW1049G2,GR,Guess,Relojeria,6,4399,-75%,1100
GW1050G2,GR,Guess,Relojeria,6,4699,-74%,1200
GW1050G6,GR,Guess,Relojeria,10,4299,-74%,1100
GW1051G2,GR,Guess,Relojeria,6,4999,-75%,1250
GW1051G6,GR,Guess,Relojeria,10,5299,-75%,1350
GW1053G1,GR,Guess,Relojeria,10,3799,-75%,950
GW1053G2,GR,Guess,Relojeria,20,3799,-75%,950
GW1053G5,GR,Guess,Relojeria,6,3999,-75%,1000
GW1053G7,GR,Guess,Relojeria,6,3999,-75%,1000
GW1054G5,GR,Guess,Relojeria,6,3299,-74%,850
GW1056G1,GR,Guess,Relojeria,10,4199,-75%,1050
GW1056G2,GR,Guess,Relojeria,6,4599,-75%,1150
GW1058G2,GR,Guess,Relojeria,6,5499,-75%,1400
GW1058G6,GR,Guess,Relojeria,6,5799,-75%,1450
GW1060G2,GR,Guess,Relojeria,6,5799,-75%,1450
GW1061G2,GR,Guess,Relojeria,6,5299,-75%,1350
GW1062G1,GR,Guess,Relojeria,20,3499,-74%,900
GW1063G1,GR,Guess,Relojeria,20,3499,-74%,900
GW1063G2,GR,Guess,Relojeria,20,3799,-75%,950
GW1064G4,GR,Guess,Relojeria,6,3999,-75%,1000
GW1065G2,GR,Guess,Relojeria,10,3199,-75%,800
GW1066G3,GR,Guess,Relojeria,10,4499,-74%,1150
GW1067G2,GR,Guess,Relojeria,10,5899,-75%,1500
GW1067G3,GR,Guess,Relojeria,6,5899,-75%,1500
GW1068G2,GR,Guess,Relojeria,6,5899,-75%,1500
GW1069G2,GR,Guess,Relojeria,6,5499,-75%,1400
GW1070G2,GR,Guess,Relojeria,6,4499,-74%,1150
GW1070G3,GR,Guess,Relojeria,6,4999,-75%,1250
GW1072G2,GR,Guess,Relojeria,6,4699,-74%,1200
GW1077G1,GR,Guess,Relojeria,20,3999,-75%,1000
JSBB04427JWYGS,GJ,Guess,Joyeria,2,2299,-74%,600
JSBB04457JWRHS,GJ,Guess,Joyeria,1,1899,-74%,500
JSBB04501JWRHS,GJ,Guess,Joyeria,2,7699,-75%,1950
JSBB04561JWYGS,GJ,Guess,Joyeria,1,4199,-75%,1050
JSBE04404JWRHTU,GJ,Guess,Joyeria,3,2299,-74%,600
JSBE04416JWYGTU,GJ,Guess,Joyeria,1,1699,-74%,450
JSBE04419JWYGTU,GJ,Guess,Joyeria,2,2099,-74%,550
JSBE04424JWRHTU,GJ,Guess,Joyeria,1,2099,-74%,550
JSBE04431JWRHTU,GJ,Guess,Joyeria,2,1899,-74%,500
JSBE04432JWYGTU,GJ,Guess,Joyeria,1,1899,-74%,500
JSBE04433JWYGTU,GJ,Guess,Joyeria,2,1699,-74%,450
JSBE04436JWRHTU,GJ,Guess,Joyeria,4,1899,-74%,500
JSBE04437JWRHTU,GJ,Guess,Joyeria,2,1699,-74%,450
JSBE04450JWYGTU,GJ,Guess,Joyeria,1,1899,-74%,500
JSBE04452JWRHTU,GJ,Guess,Joyeria,4,1899,-74%,500
